Taxa de homicídios (100.000 Habitantes)
Sigla;Código;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;
GO;5212006;Jaupaci;32,5097529259;;;32,8515111695;;;;;;
GO;5212055;Jesúpolis;42,4088210348;;;;;40,9332787556;40,6504065041;40,6834825061;;
GO;5212105;Joviânia;13,7023842149;27,3074822501;;13,5611608354;27,0343336037;26,9396551724;26,8636668905;40,7774908251;13,5648399349;
GO;5212204;Jussara;5,0926869016;30,6513409962;5,1240008198;35,9749203412;15,4623234718;36,1794500724;41,4679659963;69,5261525297;32,2806262441;
GO;5212253;Lagoa Santa;;;;;;;68,3526999316;65,7462195924;64,308681672;
GO;5212303;Leopoldo de Bulhões;24,7494122015;24,6944067169;;49,1823435387;12,2684333211;12,2443981878;12,8899200825;65,4621628699;26,1677351825;
GO;5212501;Luziânia;80,4766003107;95,0074413343;102,0711257527;77,0534751117;70,6288584284;73,6976643509;83,814206762;63,9617617747;46,8240148666;
GO;5212600;Mairipotaba;;;;41,1015207563;;41,1015207563;41,1184210526;;42,1407501054;
GO;5212709;Mambaí;;13,8274336283;;52,6592943655;25,7300913418;37,7691048722;61,6827041698;11,8008024546;23,0414746544;
GO;5212808;Mara Rosa;;18,4962545085;28,0112044818;;28,549676437;19,2030724916;38,7596899225;30,637254902;;
GO;5212907;Marzagão;;46,7289719626;;46,1041954818;;;;45,2693526483;;
GO;5212956;Matrinchã;;22,1238938053;;;;66,6222518321;22,2469410456;22,8258388496;45,8085203848;
GO;5213004;Maurilândia;8,4659668134;16,596133101;48,8440247476;15,9833772876;47,1216523993;84,9027477617;45,5580865604;95,785440613;72,3118085183;
GO;5213053;Mimoso de Goiás;;36,4298724954;;;;;36,9276218612;;;
GO;5213087;Minaçu;25,0469630557;12,5984251969;22,1764612704;41,422380831;16,0215329403;29,0004511181;19,4413842266;30,3633480652;17,0340339999;
GO;5213103;Mineiros;18,4260470601;12,5976316453;22,8768521451;29,2790465365;26,9941962478;18,1929444454;27,5871022183;48,4291762353;19,8715988994;
GO;5213400;Moiporá;;;56,6893424036;;;;;63,051702396;;
GO;5213509;Monte Alegre de Goiás;12,61829653;12,4890720619;24,7310498331;;;24,0442414042;;;;
GO;5213707;Montes Claros de Goiás;24,4230064721;24,402147389;12,1906619529;;24,3368216111;12,1639703199;24,3013365735;12,3885034688;;
GO;5213756;Montividiu;27,6778300581;9,0065747996;8,8035918655;60,2876582551;33,732501265;33,052388035;8,1056983059;38,9802759804;30,4994281357;
GO;5213772;Montividiu do Norte;;;46,5983224604;;22,9568411387;22,7946204696;22,6398007698;;22,4769611149;
GO;5213806;Morrinhos;16,468263304;9,3142391431;13,8334908814;15,9846547315;13,5734322686;13,451406793;24,4444444444;19,8732528099;21,8741797183;
GO;5213855;Morro Agudo de Goiás;;;;;;42,2475707647;;;;
GO;5213905;Mossâmedes;;19,7355437142;19,9880071957;;;;21,017234132;22,3964165733;;
GO;5214002;Mozarlândia;14,5539222821;14,3338350176;28,2505826683;13,9275766017;41,217283781;20,3362255965;53,5439394953;85,3914871256;45,325045325;
GO;5214051;Mundo Novo;15,1515151515;;31,6605983853;32,3624595469;;67,5789829363;34,566194262;19,0585096245;59,2183181998;
GO;5214101;Mutunópolis;25,3421186011;;;;;;25,5689082076;;;
GO;5214408;Nazário;;;12,0380402071;11,8750742192;;;22,8649822796;22,4744353298;22,1680336954;
GO;5214507;Nerópolis;52,3750050361;35,5057598233;58,0023974324;18,9652556516;22,3438721931;10,9717295103;64,720264634;31,3305019843;34,1378486328;
GO;5214606;Niquelândia;36,8408933917;38,8048117967;47,5349721581;33,6775931747;22,2756838635;44,2067105787;30,7138782853;19,7009828601;52,1297161103;
GO;5214705;Nova América;43,1778929188;;;;42,5713069391;;42,2654268808;;;
GO;5214804;Nova Aurora;;;;;;;;;;
GO;5214838;Nova Crixás;16,3559044815;;16,1251310167;40,0384368994;15,909633283;31,615554853;15,7084511467;39,3329137823;;
GO;5214861;Nova Glória;;23,0096640589;11,5446779035;23,1669176416;23,2450023245;11,6577290744;;24,1779497099;12,1684108055;
GO;5214879;Nova Iguaçu de Goiás;34,51846738;68,7994496044;;;102,1450459653;;;34,2817963661;34,2114266165;
GO;5214903;Nova Roma;;;56,7859170926;;;28,8433804442;;;;
GO;5215009;Nova Veneza;;;11,5580212668;11,3558937088;22,3313979455;21,9659527732;32,4359390204;;51,6315572078;
GO;5215207;Novo Brasil;27,7161862528;28,1531531532;28,5877644368;29,0275761974;88,573959256;;30,385900942;65,4022236756;;
GO;5215231;Novo Gama;70,8309808551;57,372346529;79,0232723537;76,6357860018;73,4004423092;74,0574085532;59,0351443594;30,4574894071;34,3071279656;
GO;5215256;Novo Planalto;;;;;;;;;;
GO;5215306;Orizona;6,8208171339;27,0544470747;26,8366320027;6,6560170394;13,2074225715;26,2226301298;13,0174433741;;12,9015610889;
GO;5215405;Ouro Verde de Goiás;48,3558994197;;;24,6184145741;;;;26,075619296;26,3365815117;
GO;5215504;Ouvidor;17,8412132025;17,4916914466;;33,7097589752;33,14001657;48,8519785051;;31,1090371753;15,2695067949;
GO;5215603;Padre Bernardo;59,9245655469;34,5470876805;33,8891148163;56,5554409661;26,1420822168;35,3390946766;47,3993553688;18,3930596855;27,0855904659;
GO;5215652;Palestina de Goiás;;;57,5705238918;28,7191269385;;;57,0287995438;28,9268151577;;
GO;5215702;Palmeiras de Goiás;25,0762736657;12,2734525222;20,0449005773;31,4502496364;7,7154540545;37,8873986512;11,1711040775;21,616947687;35,3194645569;
GO;5215801;Palmelo;;;41,6146483562;;;;;42,0168067227;;
GO;5215900;Palminópolis;;;;27,352297593;;27,3298715496;;;83,5887433826;
GO;5216007;Panamá;;36,443148688;;36,5898280278;;36,7107195301;36,8052999632;;38,0662352493;
GO;5216304;Paranaiguara;;;31,5556958031;52,121338476;30,9917355372;30,7534597642;40,646275785;30,3490136571;20,0561572403;
GO;5216403;Paraúna;;26,9058295964;17,9179358538;8,9485458613;26,8264329786;17,8635226867;26,7618198037;45,4421521403;27,2851296044;
GO;5216452;Perolândia;;;98,1033355134;;64,6830530401;32,2164948454;32,041012496;32,2372662798;;
GO;5216809;Petrolina de Goiás;;;37,9362670713;9,4831673779;28,4441073291;;9,4804702313;9,6889836256;9,7077953597;
GO;5216908;Pilar de Goiás;;35,7781753131;;73,9918608953;37,5516334961;;;;;
GO;5217104;Piracanjuba;16,2390386489;24,2944487185;36,5170818794;16,1890885543;12,1133812485;56,5177021517;44,3012484897;20,429843916;24,4907955427;
GO;5217203;Piranhas;25,974025974;8,7191559857;8,7788605039;8,8386070355;8,8975887534;35,8326614709;9,0155066715;;19,0458051614;
GO;5217302;Pirenópolis;21,1990163656;12,6236061435;25,0626566416;33,179876405;4,1192947767;16,3646033629;24,3862786539;16,2694216221;16,1622691826;
GO;5217401;Pires do Rio;6,7824199674;3,3622486719;6,6691120077;23,1542736174;32,8213207299;19,5427008013;38,7972841901;19,3629586601;38,4307445957;
GO;5217609;Planaltina;47,7845870814;57,9909108123;83,2727358026;104,6341293278;93,3663765777;77,7382735244;92,9937172537;62,1279383691;74,0067951694;
GO;5217708;Pontalina;28,485159232;22,7014755959;5,6545094713;16,9023606964;33,6870473303;11,1900632239;39,0341827915;16,9157034113;5,6252461045;
GO;5218003;Porangatu;9,2114959469;20,5897828922;15,9123457071;20,3320908167;13,4731547392;20,0897341459;19,9755853956;17,8165783261;15,5035325906;
GO;5218052;Porteirão;;;;27,9563880347;82,7586206897;109,1107474086;26,9179004038;;78,3289817232;
GO;5218102;Portelândia;25,406504065;;;25,1004016064;;49,8256103637;49,6277915633;;25;
GO;5218300;Posse;21,7310319136;18,33516685;9,0298889324;17,7978168011;38,0205896116;37,5007211677;51,2411751309;44,644102793;41,2371134021;
GO;5218391;Professor Jamil;30,1114122252;;58,6166471278;;;;29,6823983378;30,6466441925;30,8356460068;
GO;5218508;Quirinópolis;9,0273076055;6,6739338391;39,495337356;73,6137874294;76,9362284151;90,7594242053;37,5391032325;53,328957624;36,4254492472;
GO;5218607;Rialma;18,539117538;9,2370219841;36,8222406333;18,3503073676;18,2965876864;9,116601331;18,1768608561;18,3924958617;9,1776798825;
GO;5218706;Rianápolis;64,0888698996;;63,4920634921;84,2637455235;41,9727177335;41,7449384262;20,7986688852;41,9463087248;62,7090301003;
GO;5218789;Rio Quente;;28,5062713797;;;;;24,9128051819;23,5404896422;22,8780599405;
GO;5218805;Rio Verde;50,3109882516;46,6743205399;59,4449716854;40,599244854;36,0998333473;35,2153442421;35,8090248166;36,2354499011;26,9974874919;
GO;5218904;Rubiataba;;10,2648326832;5,1090788331;10,1724225624;15,1914117885;15,1285930408;15,0647785478;15,192950471;5,0466818067;
GO;5219001;Sanclerlândia;;;;;;;25,6706456167;13,0753138075;26,1711593824;
GO;5219100;Santa Bárbara de Goiás;;16,7448091092;;16,3452108532;64,6099176224;31,9284802043;;15,6054931336;30,8404009252;
GO;5219209;Santa Cruz de Goiás;;31,2989045383;;;32,1130378934;;;34,141345169;;
GO;5219258;Santa Fé de Goiás;;;19,9560965875;39,4244037059;;19,2492781521;19,03674091;56,3168762906;;
GO;5219308;Santa Helena de Goiás;42,7933349381;31,9182891797;58,2056776993;50,0078959836;31,4243067012;46,8982048409;28,524751705;49,5837574049;12,9920748344;
GO;5219357;Santa Isabel;;;;;;;;;;
GO;5219407;Santa Rita do Araguaia;28,1729821102;13,7551581843;26,8961807423;;12,8949065119;25,2684775742;49,5724377246;47,6928579945;23,3290563397;
GO;5219456;Santa Rita do Novo Destino;30,7408545958;;;;;;59,7907324365;;30,0210147103;
GO;5219506;Santa Rosa de Goiás;;;;;36,036036036;36,7376928729;;40,6834825061;41,8760469012;
GO;5219605;Santa Tereza de Goiás;;;;;51,7063081696;26,2123197903;;56,9962952408;;
GO;5219704;Santa Terezinha de Goiás;18,9358076122;28,7935502447;;59,1599290081;69,9300699301;50,6175339137;41,0382681851;65,782260717;67,1817265704;
GO;5219712;Santo Antônio da Barra;22,0507166483;21,8722659668;21,6966804079;43,0663221361;21,3675213675;21,2269157291;21,0659363809;;20,8899101734;
GO;5219738;Santo Antônio de Goiás;;40,2495471926;39,1159788774;;;;;;32,6637269312;
GO;5219753;Santo Antônio do Descoberto;58,6021837024;72,8166386019;71,678165039;86,7736384628;52,1761815731;68,5802460316;78,9288231149;57,926240587;36,6668477375;
GO;5219803;São Domingos;25,9605399792;25,612567233;8,4274397438;8,3222370173;;16,2548764629;40,1670951157;23,7529691211;;
GO;5219902;São Francisco de Goiás;15,9387950271;15,903307888;15,8679784195;47,5059382423;63,1911532385;;31,4762354422;;15,9744408946;
GO;5220009;São João d'Aliança;19,0186382655;18,4484826123;17,9259657614;8,7206767245;25,4950284694;16,5658908308;24,2718446602;30,7054578951;7,4699335176;
GO;5220058;São João da Paraúna;57,7367205543;;;60,6428138266;;;63,6537237428;;;
GO;5220108;São Luís de Montes Belos;12,9903871135;9,6317462356;;6,2829856748;9,3271981097;12,3103437663;6,0960741283;18,1175831144;5,9755004482;
GO;5220157;São Luíz do Norte;21,1282484682;20,8986415883;20,6825232678;40,95004095;20,2675314147;20,0924251557;59,6896140072;39,4788787998;19,5427008013;
GO;5220207;São Miguel do Araguaia;26,2639527249;26,2927256792;17,5461683555;48,3028147367;35,1648351648;39,5987328405;66,0618338765;40,6467347123;31,7215752028;
GO;5220264;São Miguel do Passa Quatro;;;;76,2388818297;;25,075225677;24,9190132071;24,9563264287;24,8015873016;
GO;5220280;São Patrício;;;;;;;;;;
GO;5220405;São Simão;17,1242650836;16,8057811887;33,0123796424;43,259611745;37,2261221017;20,9259743657;25,7638996238;25,0714536429;24,6341823915;
GO;5220454;Senador Canedo;15,0160556287;40,2427982159;70,4500130062;79,9848449767;61,3992898149;73,7272093255;68,9675269799;46,7816945981;55,246649558;
GO;5220504;Serranópolis;26,075619296;77,2200772201;12,7113257913;37,6789751319;37,2393247269;12,2744568553;36,4254492472;23,9693192713;11,8413262285;
GO;5220603;Silvânia;;10,1476482825;10,0786131828;20,0240288346;9,9472794191;4,9429093965;24,5615758707;9,846396219;34,0251786322;
GO;5220686;Simolândia;29,9490865529;29,8018179109;29,6647878968;14,7645061273;44,0981919741;14,6348602371;58,2835494682;88,1445570736;29,2740046838;
GO;5220702;Sítio d'Abadia;;;;;;;;;;
GO;5221007;Taquaral de Goiás;;27,555800496;27,5633958104;55,1267916207;27,5406224181;;27,5862068966;28,2007896221;141,3627367826;
GO;5221080;Teresina de Goiás;;31,9182891797;;;;60,7348921956;90,1713255185;29,6384113811;29,2740046838;
GO;5221197;Terezópolis de Goiás;44,5964025569;43,6999271668;14,2857142857;56,0852495794;13,777900248;27,0635994587;79,861573273;51,6262261229;12,6630365962;
GO;5221304;Três Ranchos;;;;;69,0369347601;68,9893066575;;35,198873636;35,2485019387;
GO;5221403;Trindade;8,4014786602;13,7258310991;50,2760694887;71,398979259;43,299790429;69,815754521;54,4457008837;56,9050173967;65,4283160986;
GO;5221452;Trombas;28,2565696524;;;28,1452293836;;;;114,1878389951;;
GO;5221502;Turvânia;;;;;20,4918032787;20,601565719;41,3479429398;;21,5842866393;
GO;5221551;Turvelândia;44,3458980044;;21,3995292104;105,2410018943;;81,5494393476;;39,1619345996;;
GO;5221577;Uirapuru;33,2557366146;33,3333333333;;;;;;;34,8675034868;
GO;5221601;Uruaçu;18,4886822852;10,4712041885;12,976901116;30,8848509806;22,9779411765;12,6639987843;20,1070701485;42,6097200291;24,8651067956;
GO;5221700;Uruana;49,3827160494;35,2659049231;28,2067555179;28,2007896221;21,1431390514;42,2713822742;49,320087367;50,3850860145;43,2650706663;
GO;5221809;Urutaí;;;;;;31,7057704502;;;32,4886289799;
GO;5221858;Valparaíso de Goiás;75,5480903937;92,2265197715;78,1489854587;55,898673429;55,9996266692;54,8113250638;42,1943625774;40,4389463816;41,2814239663;
GO;5221908;Varjão;26,6595574513;26,5463233342;;;;;52,0562207184;;;
GO;5222005;Vianópolis;15,5460551885;7,6988220802;15,2566938744;15,1205866788;29,9760191847;14,8588410104;14,7416525392;14,676744698;14,5496871817;
GO;5222054;Vicentinópolis;13,2327643245;26,0247234873;12,8040973111;12,6055716627;12,4223602484;24,4678248104;36,2056480811;58,9900896649;46,4522122866;
GO;5222203;Vila Boa;20,601565719;20,0481154771;;19,0621425848;;36,3901018923;53,428317008;51,0290865794;49,7842681713;
GO;5222302;Vila Propício;;18,7336080929;18,5185185185;36,63003663;18,1061017563;17,9179358538;;;34,7342827371;
MA;2100055;Açailândia;45,9299377075;35,9630526953;36,53190453;37,1091938028;29,4225818316;30,0872530338;46,13589282;50,4250108054;36,6867399805;
MA;2100105;Afonso Cunha;;;;;;15,7480314961;31,1477962934;;15,4583397743;
MA;2100154;Água Doce do Maranhão;17,1939477304;;;;8,2338410869;;;16,1238310223;;
MA;2100204;Alcântara;9,1124476034;13,8721908813;4,6221400508;4,6202180743;4,619151;13,8504155125;9,2306272211;13,5937287598;9,0567404791;
MA;2100303;Aldeias Altas;12,4698644941;12,2689350564;24,16918429;15,887516384;11,7619383674;30,9789343247;30,6337354011;30,6889673162;11,4059767318;
MA;2100402;Altamira do Maranhão;8,9992800576;;;25,942580422;;;;37,4953130859;12,3977188197;
MA;2100436;Alto Alegre do Maranhão;24,2836328315;19,9409747148;23,6034618411;15,535187199;34,543640132;26,5664731109;45,0805815395;45,0788880541;33,5332911062;
MA;2100477;Alto Alegre do Pindaré;22,4402128614;9,6107640557;22,411474675;19,1981569769;9,5932463546;19,1779070511;19,1674919337;25,1027644419;6,270771932;
MA;2100501;Alto Parnaíba;9,2472720547;9,219988936;;9,1709464417;;;9,1082976592;;8,9541547278;
MA;2100550;Amapá do Maranhão;15,4822727976;15,3069034134;;;14,8610491901;44,2086648983;14,6113383986;29,0993743635;28,9100896213;
MA;2100600;Amarante do Maranhão;39,3700787402;18,1304877101;23,023791251;25,2882864657;50,0325211387;32,1965475394;34,3507704387;34,2876735813;26,7405678724;
MA;2100709;Anajatuba;11,809628784;11,6581821008;3,8395085429;;3,7567151283;11,1619600402;14,7465437788;18,3911428256;7,5148418126;
MA;2100808;Anapurus;7,1423469752;13,9977603583;6,8686036129;6,7499156261;6,6418703507;6,5423617926;6,4520291632;6,4947717088;6,4242579982;
MA;2100832;Apicum-Açu;;;32,0245948889;5,7227881424;5,6468462364;11,1439237756;60,5426825912;22,0726189162;17,5819023618;
MA;2100873;Araguanã;;;;6,8222131259;;26,6293855269;;13,1873928524;;
MA;2100907;Araioses;;2,3113371085;6,8483769347;9,0258817158;4,4643853657;6,6295412357;6,5674255692;8,7412587413;;
MA;2100956;Arame;9,4215187488;21,9208968778;;9,4141274673;15,6528816955;12,4937531234;21,8184085029;36,8403278789;21,4480497595;
MA;2101004;Arari;10,4843782764;13,9154635589;3,4639232395;24,149589457;20,6228088266;23,9717817883;13,6532750794;13,4784513259;20,1585808359;
MA;2101103;Axixá;17,4565767653;;17,1998624011;34,1705108491;25,4647313471;33,7524259556;25,1783466219;16,6361670271;33,1235508447;
MA;2101202;Bacabal;36,8316792259;28,7276617665;27,610144756;37,3094029514;39,1140663961;29,2243848267;46,5928945836;34,5118490682;48,7417927423;
MA;2101251;Bacabeira;13,3413381362;6,518904824;12,7632418634;6,2570391691;49,1611872427;18,1236029723;17,8443968594;30,03003003;11,8659151587;
MA;2101301;Bacuri;5,996282305;17,9222175757;11,4475416404;;17,3631207316;34,6160503087;5,7510927076;43,4004231541;16,2092068295;
MA;2101350;Bacurituba;18,8111361926;;;;;;18,0375180375;;17,803097739;
MA;2101400;Balsas;34,5657822594;24,4926522043;29,7210791038;32,5382043399;26,4669879465;34,7278745456;36,359358792;50,6765863389;40,5005009272;
MA;2101509;Barão de Grajaú;11,1607142857;5,6344376831;16,7457437901;11,0656191214;5,4884742042;16,3318634656;5,4065743945;16,1246976619;;
MA;2101608;Barra do Corda;10,8178277802;52,5335498352;36,7268117573;41,1658159065;39,7196261682;35,9841669665;43,84851492;25,180844245;37,5879900677;
MA;2101707;Barreirinhas;3,6249614848;1,773081083;8,5667780348;10,2390825782;1,6771769757;11,5540150202;8,1141169407;13,0902902772;14,5565116129;
MA;2101731;Belágua;;;14,2592328533;;;;;27,2219953723;13,4970981239;
MA;2101772;Bela Vista do Maranhão;8,2630970088;;24,2463428433;18,6619389755;27,6778300581;45,7540263543;;9,0366889572;17,9565451607;
MA;2101806;Benedito Leite;;;;;;;;;;
MA;2101905;Bequimão;;4,8111618956;4,8069989905;9,6056865664;23,9923224568;4,7961630695;19,1690228591;4,7080979284;32,925682032;
MA;2101939;Bernardo do Mearim;;;16,318537859;;17,0735871607;;;16,7224080268;;
MA;2101970;Boa Vista do Gurupi;75,1503006012;36,5408038977;23,7416904084;11,592858799;11,3430127042;;10,9122653863;44,3164192333;43,6776588775;
MA;2102002;Bom Jardim;25,4958951609;12,6444629897;30,1151906041;24,9165296258;14,8496473209;24,5960105271;17,1157513815;24,2506547677;33,7878605044;
MA;2102036;Bom Jesus das Selvas;17,4916914466;16,9210463975;36,1141206212;15,9642401022;46,6795294703;21,2778892334;56,5223858397;63,7910085055;29,8694704143;
MA;2102077;Bom Lugar;6,7186240258;6,6058924561;13,0064381869;;6,3877355477;6,3055678164;12,4680506203;6,2503906494;18,5781520931;
MA;2102101;Brejo;2,9844510102;2,9458551818;2,9102761852;11,5094665362;8,5411684318;14,0948300164;22,3469929328;19,512195122;8,3012811644;
MA;2102150;Brejo de Areia;17,850767583;;40,7414952129;;;;19,1497510532;10,4712041885;;
MA;2102200;Buriti;;7,3174301185;7,2677059486;7,2209986641;14,3564711794;21,4125120445;17,7493787717;10,5514912774;14,0070735722;
MA;2102309;Buriti Bravo;8,6956521739;12,9960145555;;12,909888975;8,5814811636;;25,600546145;33,6558687421;4,1969194611;
MA;2102325;Buriticupu;42,7311296279;34,5246851499;32,5203252033;34,972167983;53,1991373113;34,0831629175;46,3307453634;36,5810763278;57,1643684732;
MA;2102358;Buritirana;;;;6,6631130064;26,5727761908;13,2406487918;6,6041474046;26,0518431679;6,4964594296;
MA;2102374;Cachoeira Grande;23,5765648945;;;;11,4142221208;11,3365831538;;11,1806797853;;
MA;2102408;Cajapió;9,3984962406;9,3423019432;;27,7213084458;18,3874230027;;36,4464692483;18,0245133381;17,9597701149;
MA;2102507;Cajari;5,4291763939;10,7898144152;5,3627929426;5,3330489041;5,3050397878;;10,5097214924;20,7986688852;15,5384057596;
MA;2102556;Campestre do Maranhão;14,8942508192;44,2412623507;7,3056691993;7,2421784473;50,2837439839;28,5123672393;56,6291498549;28,1452293836;48,971596474;
MA;2102606;Cândido Mendes;21,5204174961;5,2312199205;;5,1477401421;10,2218133497;25,3729828479;20,1745095072;;9,9621438534;
MA;2102705;Cantanhede;;9,6408773198;33,4288443171;9,4674556213;14,0884756269;27,9589934762;27,7559328306;22,992734296;18,2882223848;
MA;2102754;Capinzal do Norte;9,3066542578;;9,3161915409;18,641066269;18,6532363365;27,9746363297;;18,2965876864;9,147457007;
MA;2102804;Carolina;8,3108248494;12,4890720619;8,3406313858;4,17728393;20,9170013387;25,1424740194;29,3710401544;20,5321944809;28,7627891688;
MA;2102903;Carutapera;9,0485454463;;;4,383849897;13,0310138129;4,3066322136;17,0910955392;21,2702599226;12,6806999746;
MA;2103000;Caxias;25,0296826365;41,4350553317;54,2771669843;37,6420989234;39,3035167289;35,9946628603;30,8783024344;25,6799060849;34,099766173;
MA;2103109;Cedral;;9,6450617284;;19,2049164586;9,5849707658;;9,5483624558;;9,3835038003;
MA;2103125;Central do Maranhão;37,8692249432;;12,2699386503;24,2277407632;23,9463601533;35,5071606107;58,5891727209;;34,8675034868;
MA;2103158;Centro do Guilherme;;;8,2932492951;16,1355385236;15,7331655129;;7,5216246709;23,0343980344;15,1023182058;
MA;2103174;Centro Novo do Maranhão;5,6497175141;;;4,9062898636;4,8290515743;14,2782352101;18,779342723;18,8928773852;4,6731155661;
MA;2103208;Chapadinha;9,5011876485;10,728031004;22,5416357272;26,2408648989;20,7865095553;28,3191308601;24,2507785776;36,8928580515;37,9051108724;
MA;2103257;Cidelândia;7,276961141;7,2061684802;;28,3185840708;49,1745697225;13,9411682699;27,6893257649;20,6412549883;20,5240473421;
MA;2103307;Codó;25,3036437247;13,4520476539;15,0878869414;16,7166773932;18,3391407279;25,7766247589;31,5227129442;21,2539851222;26,1017806308;
MA;2103406;Coelho Neto;29,8145111485;19,0427827853;16,8247492061;27,1847096464;33,2806389883;24,833923139;12,359411692;10,1930564899;34,5205701986;
MA;2103505;Colinas;10,1768222872;17,7125506073;7,5522996753;17,5372666917;14,9625935162;12,4161907127;29,6831325599;7,3344253478;31,6748696457;
MA;2103554;Conceição do Lago-Açu;20,6896551724;6,7631543352;33,2071461779;6,5303990074;25,7152041144;19,0077931952;25,0078149422;18,8643652141;6,2220009955;
MA;2103604;Coroatá;11,2906867963;8,0121785113;17,5187131709;20,5846027172;23,6235353408;43,8706442717;35,8685651014;46,306300744;41,5103622163;
MA;2103703;Cururupu;21,3440663496;18,3789744532;30,765444253;35,3141352852;45,1205362898;54,9930449973;25,9698100958;22,1540019622;39,6764840531;
MA;2103752;Davinópolis;7,91452315;39,5600917794;23,7285454402;39,5381938953;31,6080600553;63,2261123844;47,4083438685;54,2930272241;69,7620339509;
MA;2103802;Dom Pedro;8,7792458628;17,5415515502;26,2881177708;17,5100682893;8,74814102;4,3692926115;4,3673843735;8,5814811636;12,8600823045;
MA;2103901;Duque Bacelar;9,349289454;18,5477139943;9,204712813;9,1390970572;;18,0423996392;8,9702188733;26,685643124;;
MA;2104008;Esperantinópolis;16,1864681127;;33,9078835829;5,7273768614;17,4003828084;29,3599530241;35,6442701836;5,7074367901;23,0162840209;
MA;2104057;Estreito;41,6736122687;29,7064462988;18,4176599048;41,0972978527;45,2272670168;34,4572975634;24,1563398314;19,6309383589;33,8532221013;
MA;2104073;Feira Nova do Maranhão;;;;;12,0540019286;12,0177863238;;;11,7910623747;
MA;2104081;Fernando Falcão;;10,5719420658;;;;;9,8000784006;;;
MA;2104099;Formosa da Serra Negra;;;5,6110425317;5,5288328634;5,4537521815;;10,6422604161;16,0076836882;15,8587513876;
MA;2104107;Fortaleza dos Nogueiras;;;8,1129320136;;;8,0834209037;24,2130750605;15,8742757362;15,8541418946;
MA;2104206;Fortuna;19,7823936696;;6,5802461012;26,2950302393;6,5659881812;26,2467191601;45,8986295981;25,7731958763;19,3099897013;
MA;2104305;Godofredo Viana;;9,4544766947;9,2438528379;;;;25,7422344259;17,3580975525;17,135023989;
MA;2104404;Gonçalves Dias;11,390170283;5,6934639034;11,3843351548;11,3817436831;11,3810959995;11,3759171833;;22,3289047672;27,895559027;
MA;2104503;Governador Archer;;;19,234468167;;9,4975781176;28,3152430392;18,7828700225;9,3057882003;9,2652645233;
MA;2104552;Governador Edison Lobão;50,1096147823;6,1113487747;11,9481450505;23,4000234;51,6291877008;33,8104361546;38,7983593837;5,6069526213;55,3464688953;
MA;2104602;Governador Eugênio Barros;;;6,1602907657;12,2609122119;6,1023982425;18,2315405652;6,0525360126;11,9653006282;29,8115907465;
MA;2104628;Governador Luiz Rocha;13,5703623287;13,4661998384;;39,8300584174;;;;12,9265770424;12,8667009779;
MA;2104651;Governador Newton Bello;16,7028561884;9,7770825186;;29,6647878968;9,9373944152;;10,0351229303;19,52552963;19,5867202037;
MA;2104677;Governador Nunes Freire;47,034844981;11,7994100295;15,7846967365;23,7510885916;15,881839117;39,8120869496;43,9086699665;50,672383551;50,7495315428;
MA;2104701;Graça Aranha;;16,2311313099;16,2443144899;48,7725573078;16,2654521796;;16,2919517758;;;
MA;2104800;Grajaú;36,8778860954;28,3509214049;27,7850670701;39,952057531;26,9743743444;29,5735494174;21,9112448509;36,6509800472;53,7197282072;
MA;2104909;Guimarães;16,4826108456;33,153750518;;8,3759108803;16,8321831342;25,3656886784;8,4918478261;8,2665123584;8,2898118213;
MA;2105005;Humberto de Campos;15,2062345562;3,7484069271;3,6994561799;10,9633094577;21,6786501427;10,72309397;10,618717259;21,2201591512;21,0541090603;
MA;2105104;Icatu;;3,9180347138;11,6387337058;7,6881679096;15,2444834026;11,3417262107;7,5044088402;11,1977903027;11,1304864023;
MA;2105153;Igarapé do Meio;;7,7718193829;7,6260199802;7,4923203716;;;;28,8329849348;;
MA;2105203;Igarapé Grande;45,0856627592;8,9206066012;8,8308018368;8,74814102;17,3475583312;17,1998624011;;35,7685773048;8,8873089229;
MA;2105302;Imperatriz;43,0410297667;41,6649973959;53,8782351885;51,2987736014;66,9781746268;54,5191646716;71,2954902648;47,797432151;49,9968994171;
MA;2105351;Itaipava do Grajaú;27,8551532033;56,4789414233;;28,4010224368;22,0994475138;6,4073813033;18,9669343112;6,3560668658;;
MA;2105401;Itapecuru Mirim;20,8383425503;14,2204806522;15,5901657235;36,9509322412;19,7817916217;24,083328316;16,3924654268;20,8541253929;14,7769420596;
MA;2105427;Itinga do Maranhão;48,0518960477;35,8894604618;47,664442326;59,3612727057;55,2115786568;23,5821247494;43,1068265538;46,4001237337;34,7061545581;
MA;2105450;Jatobá;11,6767865483;33,921302578;;32,0512820513;10,4155817102;20,3583061889;9,9730727037;20,3458799593;;
MA;2105476;Jenipapo dos Vieiras;32,2414237813;19,1742298351;;;;18,6046511628;;;6,0856864654;
MA;2105500;João Lisboa;14,6548776318;33,760972316;42,4268137463;29,8507462687;47,1354501435;60,2513341367;77,8109194657;29,4600395606;37,9810938555;
MA;2105609;Joselândia;;;19,0888266735;19,0415741035;31,6595960236;44,2114570833;12,6095454259;18,6289120715;6,1973227566;
MA;2105658;Junco do Maranhão;49,5294700347;25,6278831369;;54,7495209417;28,2406099972;58,3600817041;60,0600600601;;85,5675984027;
