Taxa de homicídios (100.000 Habitantes)
Sigla;Código;Município;2010;2011;2012;2013;2014;2015;2016;2017;2018;
AL;2702108;Colônia Leopoldina;43,4090580234;57,317539167;28,399678137;28,1597597034;65,1951196796;50,8576448287;87,2119709905;93,2444403002;88,0648899189;
AL;2702207;Coqueiro Seco;122,3134719553;69,4927032662;51,8403317781;120,3369434416;51,3434879343;102,2669166525;33,9270568278;86,1029791631;34,3288705802;
AL;2702306;Coruripe;61,1224300796;91,5784460969;81,6563537716;52,1132834963;92,6173301273;68,8778213415;75,3341859528;72,9771101064;54,807114317;
AL;2702355;Craíbas;29,8520192759;42,3674956573;37,8963324772;37,6805526481;41,3873023756;24,7076264207;53,2721386715;37,4453921365;41,4439056737;
AL;2702405;Delmiro Gouveia;72,271741749;41,8060200669;39,5046121635;25,490695896;33,1119378275;21,1587289374;28,6773983864;34,9473847707;30,9101095377;
AL;2702504;Dois Riachos;17,7493787717;17,7604120416;53,3807829181;44,5077443475;62,3552467486;26,7355850637;44,5672519832;36,1565578957;45,2324950244;
AL;2702553;Estrela de Alagoas;33,5814630324;27,844294704;38,7962090561;44,1428019644;27,4830978948;38,2450964323;21,771077124;49,721009889;11,0174626783;
AL;2702603;Feira Grande;54,3429037225;67,8364688857;40,6706132225;26,8132457434;89,2817284943;49,0480224729;35,622050049;45,1711988436;36,1141206212;
AL;2702702;Feliz Deserto;66,6666666667;44,0431622991;43,0941607412;42,7533133818;63,6267232238;21,0837022981;188,4027632405;42,5170068027;21,146119687;
AL;2702801;Flexeiras;47,0035252644;85,9442143917;23,3790523691;54,4238843104;46,5585473733;77,429345722;77,261840377;54,8804390435;62,6321146168;
AL;2702900;Girau do Ponciano;26,3810478552;49,4315373208;12,759984688;20,1729833321;19,9526125452;34,5533973394;51,3296832225;22,358581969;34,4929535823;
AL;2703007;Ibateguara;57,361376673;50,9067769647;82,5973695915;76,1324704987;57,0233795856;69,6158470983;69,523448363;51,2984931068;64,0779187492;
AL;2703106;Igaci;57,4999041668;30,6819053463;23,0220244033;30,7089938966;34,5409886399;38,4083576586;38,4157350851;23,3763197881;35,0890872939;
AL;2703205;Igreja Nova;24,8725282925;41,1912509783;20,4733437065;36,9944097336;20,4465527112;16,2806789043;48,6085794143;24,6740963112;32,7761389708;
AL;2703304;Inhapi;16,1838485192;26,9411067407;37,8439746986;37,8051414992;59,3696027634;32,2234156821;48,2910339647;38,1035327418;76,1780389596;
AL;2703403;Jacaré dos Homens;53,5140920442;36,00360036;17,9953212165;36,2910542551;18,2882223848;36,8391969055;;;18,9107413011;
AL;2703502;Jacuípe;13,7988133021;69,1754288877;13,8696255201;41,7072153483;41,8001950676;41,8935902807;13,9899272524;99,2766983407;56,8504832291;
AL;2703601;Japaratinga;;24,682216463;12,2399020808;48,5790624241;24,1080038573;35,9324469996;;48,3500543938;24,0471323795;
AL;2703700;Jaramataia;17,3731758165;17,4155346569;87,260034904;87,4431619447;105,2077853761;17,5685172171;105,5408970976;53,4950071327;35,7334286225;
AL;2703759;Jequiá da Praia;8,0269706213;32,2710770472;8,1063553826;;8,3941912197;8,4274397438;59,201623816;25,7113472746;25,8086717137;
AL;2703809;Joaquim Gomes;55,6030795552;67,9896315812;101,3599121547;96,5858984588;62,6802055911;78,9692435578;24,8200546041;92,3942715552;41,8357528344;
AL;2703908;Jundiá;22,9779411765;;69,7836706211;23,3918128655;47,0145745181;117,0411985019;23,5349493999;47,6871721507;47,9041916168;
AL;2704005;Junqueiro;36,4579113668;36,4534813075;19,9465432641;67,8020181071;67,7912030945;35,8794450646;31,887755102;44,4678012694;20,2175407383;
AL;2704104;Lagoa da Canoa;31,7443521507;58,5635947399;69,6266938032;53,8618980933;48,8307742391;43,6133674971;49,2988606486;77,6957655808;66,9120107059;
AL;2704203;Limoeiro de Anadia;32,1945984618;10,6416941577;28,5327056138;60,1897748194;24,6166830778;31,4454421579;38,2037300733;24,688745459;24,565713283;
AL;2704302;Maceió;95,0282030871;93,6734104697;77,0867879728;82,8707387033;73,617849742;56,5287778833;55,2995030875;61,3521944099;51,1664569303;
AL;2704401;Major Isidoro;30,657605641;30,4909035471;65,7262753425;45,2852973735;65,1269976454;49,8977096951;34,7808804531;30,2602380472;20,1095973053;
AL;2704500;Maragogi;33,5852225021;29,6892524906;25,9563284773;44,7298635739;47,2515356749;43,522865048;70,6214689266;65,5717229751;40,1618832834;
AL;2704609;Maravilha;37,55515914;19,227071717;19,2566917004;39,3391030685;10,0401606426;10,2322725877;83,4376303713;42,1451901802;21,4454214025;
AL;2704708;Marechal Deodoro;86,1018942417;119,8124315726;115,9644375725;116,3420456141;91,0764844477;62,5892385628;46,4081987818;55,0498397656;33,0971108169;
AL;2704807;Maribondo;21,2690535271;85,7204086006;136,690647482;94,1551386978;94,7521865889;87,8348704436;51,5198351365;67,1040858932;59,9835045363;
AL;2704906;Mar Vermelho;;26,6524520256;26,8456375839;;54,4365813827;55,2791597568;27,7777777778;28,129395218;;
AL;2705002;Mata Grande;35,1851127878;19,5541650372;51,2699163906;39,4492879404;27,2840661054;19,5427008013;27,3555043183;27,7381518466;11,8924918735;
AL;2705101;Matriz de Camaragibe;40,5943005602;32,4780772978;64,9587917665;55,9888022396;67,9918409791;91,9852823548;55,9776089564;52,7212263768;52,7404762871;
AL;2705200;Messias;61,5687723187;102,8433151845;83,0663344013;70,1344243133;69,1802144587;56,8925300108;50,5930631289;51,449151089;62,2312740439;
AL;2705309;Minador do Negrão;18,3049606443;54,9954170486;;18,3857326714;;;36,9071784462;;37,4742364624;
AL;2705408;Monteirópolis;13,9236981342;27,7932184547;27,7507978354;13,8523341183;13,8350857775;27,6128675963;;27,9837694137;;
AL;2705507;Murici;39,7643061129;86,2254796292;103,5455421859;138,5041551247;99,3119103355;52,9361942405;70,2691307709;67,772427323;85,2969399723;
AL;2705606;Novo Lino;16,0128102482;;31,3971742543;8,0134626172;23,8473767886;63,2911392405;54,9666274048;15,9527797719;31,7082837891;
AL;2705705;Olho d'Água das Flores;33,1895121142;66,1125802796;51,8721116665;37,2110330713;83,4414982385;27,7315585136;59,891274302;60,7817467739;27,9889909969;
AL;2705804;Olho d'Água do Casado;34,1141687514;22,4542494667;11,0938540049;21,9442615756;43,4357693561;64,5369474024;42,6393774651;21,6637781629;42,996882726;
AL;2705903;Olho d'Água Grande;;;58,2637405321;19,3836014732;38,692203521;96,5437343116;77,1158665896;19,5618153365;;
AL;2706000;Olivença;34,961978848;34,7856335334;60,5850787606;17,2503018803;34,3642611684;8,5609108809;34,0976898815;17,3055291166;17,2547666293;
AL;2706109;Ouro Branco;;8,7943012928;26,4340470526;8,7650100798;8,7108013937;52,0201144443;17,2577444128;26,2766050626;34,9162011173;
AL;2706208;Palestina;;18,7195806814;37,1264154446;20,2675314147;60,3621730382;19,9880071957;59,5710881652;;20,0601805416;
AL;2706307;Palmeira dos Índios;56,2576325142;73,8613048831;65,4593061314;54,3980851874;44,7657935076;62,2740872108;59,4201137085;43,852436551;46,5141731422;
AL;2706406;Pão de Açúcar;24,3299136288;40,6553644753;24,4528670987;40,04004004;24,074148377;28,1452293836;36,2406378352;40,8263248142;12,2719463307;
AL;2706422;Pariconha;;37,5727972948;9,379983116;;18,7195806814;9,4330723517;;9,5057034221;9,4993825401;
AL;2706448;Paripueira;42,5459496256;58,2993253935;48,9875898106;32,0666987334;47,288776797;23,282887078;68,8283878862;38,9044506692;53,7799631223;
AL;2706505;Passo de Camaragibe;45,7815565729;26,1113649716;32,5817802685;65,0533437419;32,4844074844;45,3955901427;6,4762644906;45,9951376569;19,6953781513;
AL;2706604;Paulo Jacinto;39,0066311273;156,0671088568;91,062833355;65,0618087183;78,1046602447;13,0276185513;65,1041666667;26,4096130992;52,8541226216;
AL;2706703;Penedo;63,9672487686;81,1752908781;45,9558823529;31,4490132872;68,9309437273;59,3101295458;41,9958937348;75,7755150367;34,6369418729;
AL;2706802;Piaçabuçu;61,7387887972;67,1854879346;44,6877443861;61,3120784795;133,5262045176;44,4173005386;27,7115778972;78,7268739808;39,3147992137;
AL;2706901;Pilar;121,7638361407;126,8998932887;129,1507619895;154,2724909293;85,3509345927;70,8415981865;95,9692898273;111,738245996;97,1206581353;
AL;2707008;Pindoba;;;33,7495781303;;101,4198782961;;33,8524035206;;;
AL;2707107;Piranhas;83,7977123225;45,6223300568;41,0846343468;52,9402182766;32,3153982873;56,1167227834;55,7103064067;60,6330086099;24,1050982283;
AL;2707206;Poço das Trincheiras;34,8019767523;34,6620450607;41,8118466899;;27,6816608997;13,8016700021;34,3997248022;13,9635551211;6,9666991779;
AL;2707305;Porto Calvo;18,779342723;44,8196011056;37,1540033439;40,6699449107;69,932643822;65,9678956241;51,0986203373;70,393834982;59,0863768972;
AL;2707404;Porto de Pedras;11,4547537228;11,6279069767;35,3898784948;35,8765845492;60,5913717887;36,8052999632;49,6585971446;50,2386335092;25,4032770227;
AL;2707503;Porto Real do Colégio;39,952057531;29,8344189747;40,020010005;59,8026512509;34,7653339955;29,6956198961;44,404973357;65,0976464697;19,9820161854;
AL;2707602;Quebrangulo;50,4625735913;50,7485409794;25,5102040816;34,188034188;17,1791788353;34,5125107852;34,6560388148;61,4574187884;8,8167871628;
AL;2707701;Rio Largo;64,8581580283;95,2848034751;116,1732801456;111,3678759362;95,6734346763;71,3926862159;75,3091639362;72,432664449;81,5093936236;
AL;2707800;Roteiro;58,029885391;14,5496871817;43,7700612781;117,0275014628;58,6424277965;29,3987946494;103,123158515;134,4086021505;104,7904191617;
AL;2707909;Santa Luzia do Norte;56,0459576853;13,9295166458;41,5570023549;55,1191952597;95,9692898273;40,9556313993;95,1474785918;96,6050234612;68,7568756876;
AL;2708006;Santana do Ipanema;45,1273235199;72,6123355544;76,439612706;61,243453286;84,0583364855;54,3785163031;47,8837465909;48,6124321011;21,0588383945;
AL;2708105;Santana do Mundaú;17,6180408739;17,7383592018;35,7079093019;8,9814981139;45,1752800867;45,4050127134;100,438276114;37,0027752081;37,1920037192;
AL;2708204;São Brás;28,743891923;28,6738351254;14,3041052782;14,2734798744;14,2429853297;28,4292821606;28,3848992336;28,801843318;28,7645620595;
AL;2708303;São José da Laje;63,84337093;93,1453490834;75,8309811686;67,0943934247;100,2171371304;79,0086493679;57,9950289975;54,6631906484;29,3439530497;
AL;2708402;São José da Tapera;51,3445863552;22,285186718;31,5995702458;56,4847648037;21,8258917436;61,9809098798;55,4614081035;25,0320723427;34,2561738968;
AL;2708501;São Luís do Quitunde;29,7902764538;41,413992013;47,0187193276;55,4922748912;29,0427509294;69,3300979288;71,8432093798;52,5210084034;43,585645794;
AL;2708600;São Miguel dos Campos;111,4570801783;127,1179062114;89,2290268888;69,4009513008;88,5917258671;64,4287319104;45,7486438795;46,5093101673;42,7807486631;
AL;2708709;São Miguel dos Milagres;;66,471683063;13,1268049357;25,9437021663;25,6640574875;25,4032770227;25,1540686706;25,5656397801;63,3874239351;
AL;2708808;São Sebastião;69,3774131274;56,9032644504;59,4972482523;88,6891740082;76,4278785385;40,9260991581;104,6907261465;56,1018100216;52,9240539825;
AL;2708907;Satuba;46,2840518381;123,8511179193;77,1952396269;165,2157336214;75,5401117994;52,3247122141;65,1041666667;51,4705882353;51,0352872558;
