Despesas por função - educação e cultura - municipal
Sigla;Código;Município;2010;2011;2012;2013;2014;2015;2016;2017;
AL;2702702;Feliz Deserto;2945870,79;3592716,02;3683662,11;4329989,06;4932982,21;4583048,95;5255595,39;5140978,88;
AL;2702801;Flexeiras;9331522,62;11754568,62;;;;;;;
AL;2702900;Girau do Ponciano;24902525,15;23875834,44;33306592,32;;35317871,38;38420714,85;38914323,18;40014572,52;
AL;2703007;Ibateguara;7938086,2;9325192,25;9635795,67;11694248,93;13493510,4;13288941,44;14423423,13;14131734,37;
AL;2703106;Igaci;10567803,78;;14778554,33;16933066,53;21786883,7;21717973,8;22508085,02;20991102,15;
AL;2703205;Igreja Nova;14067143,26;16102656,75;15968767,25;18320484,96;20967060,65;20673344,33;21675944,22;20757110,22;
AL;2703304;Inhapi;11524499,29;;;13759955,84;15167876,05;14717694,62;14330049,83;17058769,2;
AL;2703403;Jacaré dos Homens;4171226,62;4930218,13;5252468,28;6098837,97;6648563,32;7346163,34;7512999,78;6753773,75;
AL;2703502;Jacuípe;4543541,11;5377957,15;5482338,37;5384071,82;6631163,02;6733881,33;7979408,98;11347586,56;
AL;2703601;Japaratinga;;;;6010530,51;7710340,96;8014575,43;;;
AL;2703700;Jaramataia;4252565,08;4516141,52;6195809,77;5200805,35;;;;6342548,4;
AL;2703759;Jequiá da Praia;9122551,12;10878026,71;;10894767,03;13073609,69;13415642,32;18905090,51;13935685,16;
AL;2703809;Joaquim Gomes;11124482,83;14303647,5;15814889,72;;14547560,79;17981648,84;;19560647,65;
AL;2703908;Jundiá;3320480,09;4236124,37;4281748,81;4275774,48;5681398,68;5503796,9;6400690,46;5379087,06;
AL;2704005;Junqueiro;14206975,92;17894533,02;20369374,15;;;;;;
AL;2704104;Lagoa da Canoa;10397185,91;11072622,14;;13682730,72;16137365,38;16927901,7;15576064,84;17067932,09;
AL;2704203;Limoeiro de Anadia;14799040,66;16723085,53;20940352,58;20402491,1;25421105,78;27780827,3;30856647,16;30033901,53;
AL;2704302;Maceió;194277984,86;232265623,57;253798198,97;266216019,23;168903371,79;297739239,03;308593186,17;328150023,04;
AL;2704401;Major Isidoro;8999617,99;8217012,8;12270938,73;13822873,55;16071798,29;16775836,1;18652964,05;18455508,7;
AL;2704500;Maragogi;17915319,34;21084920,04;;20705574,8;21081158,46;24343571,23;27103496,93;25479540,08;
AL;2704609;Maravilha;8357071,56;9603597,95;11673579,77;9771574,95;11018313,27;;;12418075,87;
AL;2704708;Marechal Deodoro;27501532,25;31113615,15;35924664,35;41142429,8;47831160,2;49323744,7;47088264,25;45916538,28;
AL;2704807;Maribondo;6727733,47;7347593,38;7356454,33;6371592,76;7331354,18;7219058,83;7959147,23;8131244,22;
AL;2704906;Mar Vermelho;3066632,63;;;4511408,58;4843824,65;4238294,47;4916926,57;4424302,76;
AL;2705002;Mata Grande;15888914,61;21011744,52;22927054,92;25085979,01;30758598,69;30457499,22;26601019,74;23596122,93;
AL;2705101;Matriz de Camaragibe;10493678,41;13195535,03;15156107,7;15273085,87;19470255,3;19268850,97;22023013,68;19331416,14;
AL;2705200;Messias;9656126,07;11791638,6;12202821,37;13879462,02;18121185,79;18992881,19;17630921,04;20802698,01;
AL;2705309;Minador do Negrão;3302866,92;3938013,85;4611885,44;5699064,78;;5562185,41;6419469,68;6277769,48;
AL;2705408;Monteirópolis;5241154,16;6762436,73;;6781802,85;8190338,42;;;8231033,81;
AL;2705507;Murici;13629462,59;18209653,05;18234661,39;19589858,48;23126121,47;24837411,62;31256761,62;25855514,35;
AL;2705606;Novo Lino;6950218,23;8918313,3;8886601,68;10053044,12;10226309,79;12535635,51;14528955,84;11242683,02;
AL;2705705;Olho d'Água das Flores;9274642,93;11593378,18;11467877,48;11383453,02;15456035,39;16492463,2;16651362,33;16346401,94;
AL;2705804;Olho d'Água do Casado;5921068,83;6906675,7;0;10119988,7;8354796,14;7057488,6;;8920714,4;
AL;2705903;Olho d'Água Grande;4812251,74;4402728,77;5085856,04;6810575,91;5875408,8;6574570,77;6823886,3;6587434,17;
AL;2706000;Olivença;7427308,89;7859103,48;9398992,09;9698409,74;12111490,18;9947661,07;12427292,35;12693299,48;
AL;2706109;Ouro Branco;6726966,94;7771967,47;8248270,01;8615506,51;10090095,78;12482485,18;12845862,89;13052624,51;
AL;2706208;Palestina;;;;6033412,73;5562464,42;6935092,04;6776322,66;6251208,77;
AL;2706307;Palmeira dos Índios;21855141,69;28144095,77;34504013,26;38349202;;52520272,53;56606122,9;50331708,27;
AL;2706406;Pão de Açúcar;12382781,68;14963368,35;15993535,53;15631459,41;20674585,39;24069084,8;26866027,13;20139767,15;
AL;2706422;Pariconha;5191116,07;6791563,64;7725386,78;8463258,31;9618133,54;9852436,51;10445195,67;10070952,44;
AL;2706448;Paripueira;5417884,17;6771222,88;8136677,95;8469111,88;10775728,59;11184156,83;12373717,74;12734380,27;
AL;2706505;Passo de Camaragibe;8606411,89;;;10878397,99;13641060,23;14597867,04;15963670,21;15431756,35;
AL;2706604;Paulo Jacinto;3473806,11;4433969,65;4806630,5;5178247,68;5321261,33;5242868,19;6409745,31;299623,89;
AL;2706703;Penedo;23271652,38;25813712,3;27913467,44;37015297,27;35159368,2;36408018,08;;;
AL;2706802;Piaçabuçu;8536288,37;10916891,36;10520404,06;10637273,15;13718207,1;14174587,76;15613581,65;15802181,32;
AL;2706901;Pilar;17859125,76;19583547,07;0;22333911,31;24980087,56;30299067,05;32750463,62;31087471,71;
AL;2707008;Pindoba;2705620,98;2751754,39;;2964002,57;3654217,54;3722515,84;4302476,48;4087061,62;
AL;2707107;Piranhas;15167742,11;16344325,37;19018855,35;19435649,12;20560885,22;23321471,78;26644097,8;27961013,95;
AL;2707206;Poço das Trincheiras;6459000;12462799,39;;14664839,42;16637094,41;16583603,4;21015944,09;18338052,25;
AL;2707305;Porto Calvo;14141245,38;18376734,39;21628037,47;18164243,78;19834580,55;22869574,61;16195442,57;24401856,19;
AL;2707404;Porto de Pedras;6113137,21;6976694,69;8573655,37;9066843,41;10794340,34;10450398,45;11467916,65;11265635,44;
AL;2707503;Porto Real do Colégio;7994205,12;10449803,65;11759076,13;11832203,3;13950968,43;13271867,7;14002619,82;14995233,96;
AL;2707602;Quebrangulo;6903371,42;8701666,01;9601100,64;10348016,27;10454212,42;11082325,48;15729822,68;0;
AL;2707701;Rio Largo;26356096,9;32122797,15;32745412,27;38283244,27;41584059,59;48331781,23;48376428,86;52859729,03;
AL;2707800;Roteiro;5200907,47;5625135,49;6696807,76;8542053,39;11844878,38;10716026,42;10458358,71;10211858,08;
AL;2707909;Santa Luzia do Norte;3988160,3;4688720,75;4907863,6;5023177,86;5981466,32;;;;
