Despesas por função - saúde e saneamento - municipal
Sigla;Código;Município;2010;2011;2012;2013;2014;2015;2016;2017;
AL;2702801;Flexeiras;3909814,36;3742247,93;;;;;;;
AL;2702900;Girau do Ponciano;9741580,92;10014967,65;10541036,23;;15992549,96;14534565,38;16801943,84;13944659,55;
AL;2703007;Ibateguara;4386397,13;6074326,53;6759407,56;6999468,11;6569159,22;7407865,81;7611733,94;7369580,6;
AL;2703106;Igaci;3077525,66;;9203683,03;11397843,73;12379161,47;14246322,99;17292010,08;14889942,22;
AL;2703205;Igreja Nova;7157699,31;7240883,08;8027016,74;11340666,6;12560439,05;11004606,41;10399633,14;12539796,1;
AL;2703304;Inhapi;3507924,02;;;5599839,23;8031319,29;7086610,09;5196018,77;8831306,09;
AL;2703403;Jacaré dos Homens;2138683,83;2363185,43;2645165,41;2878863,32;2827516,47;2933130,03;3607430,22;3788758,9;
AL;2703502;Jacuípe;2185855,95;2240730,82;2332289,54;2742413,87;3821577,12;2584449,16;3024849,01;3792859,59;
AL;2703601;Japaratinga;;;;2579718,45;2919622,95;3099153,82;;;
AL;2703700;Jaramataia;2104142,6;2715748,95;2858334,63;3064849,87;;;;3948468,09;
AL;2703759;Jequiá da Praia;3852614,53;5002009,11;;6529500,89;8998454,88;8373624,79;8397146,99;8625081,94;
AL;2703809;Joaquim Gomes;10205169,22;9467163,74;10066801,42;;4243387,28;11698023,4;;11881790,18;
AL;2703908;Jundiá;2045016,8;2124968,24;2546513,88;2370255,93;2621773,76;2805414,8;3334949,54;3354619,61;
AL;2704005;Junqueiro;5559301,08;9084383,46;10295665,19;;;;;;
AL;2704104;Lagoa da Canoa;5324810,89;6827742,98;;8712592,04;9330965,43;8998404,98;10137637,96;9267914,67;
AL;2704203;Limoeiro de Anadia;6652574,29;6975620,88;7349980,98;10581090,24;13684246,35;11966258,39;11886483,52;12966151,98;
AL;2704302;Maceió;430082356,24;543118476,22;567228181,98;629491885;566993491,9;537683355,85;608871074;657151551,05;
AL;2704401;Major Isidoro;5599869,28;5911488,36;7483872,21;8706012,29;10254529,26;10315022,12;10838570,83;11511983,86;
AL;2704500;Maragogi;6659062,85;8185014,26;;10467169,68;12395817,62;12082753,28;16196096,49;18050001,17;
AL;2704609;Maravilha;2809691,45;3674889,71;3823396,67;4199087,82;4755738,12;;;4323366,22;
AL;2704708;Marechal Deodoro;21003756,76;23399829,2;28828605,35;29715468,02;34907895,81;41571953,13;43447542,62;44610846,09;
AL;2704807;Maribondo;4065792,4;4726188,1;4579574;5737339,71;6952033,04;6067286,71;6894861,53;7376257,5;
AL;2704906;Mar Vermelho;1631810,36;;;2491753,2;2836464,07;2736922,99;2821130,35;2973390,83;
AL;2705002;Mata Grande;6573788,32;7633588,24;9962451,18;10374849,38;8995193,66;9276639,19;10812560,41;10854428,84;
AL;2705101;Matriz de Camaragibe;7246334,67;8278508,1;7507159,63;9007232,56;12269321,04;12619276,81;15229898,8;15146952,4;
AL;2705200;Messias;4528287,64;5310379,87;5842760,66;7093033,14;8521427,82;8763560,31;9145132,97;10671997,91;
AL;2705309;Minador do Negrão;2002183,04;2345061,3;2544507,92;2200998,02;;2969762,36;3430130,49;3242453,14;
AL;2705408;Monteirópolis;2157334,27;2432868,02;;3048121,19;3348955,87;;;3989685,02;
AL;2705507;Murici;10040111,82;10357964,87;10619421,57;11905871,31;13023233,17;14350404,47;15135307,52;15040169,93;
AL;2705606;Novo Lino;2663772,66;3631486,15;4277785,72;0;4722759,67;5568135,01;7095139,45;6492944,57;
AL;2705705;Olho d'Água das Flores;6342309,87;7024619,91;8482882,55;8623167,16;10683260,01;15167956,4;22521555,78;21247242,77;
AL;2705804;Olho d'Água do Casado;2305419,75;4145195,2;0;6284722,64;5690700,62;6252075,47;;6983906,78;
AL;2705903;Olho d'Água Grande;1904529,55;2557767,04;2615421,08;3836760,13;2391537,33;3215771,84;2915765,92;3038037,14;
AL;2706000;Olivença;3143097,54;3830196,02;3875060,43;3942761,07;4054533,23;4167356,04;4756401,62;4792906,17;
AL;2706109;Ouro Branco;3321330,87;3182035,35;4255093,49;2770347,41;5126870,74;8047720,61;5917419,48;5043431,86;
AL;2706208;Palestina;;;;2177447,99;2251027,99;2424295,8;2959582,33;2916542,18;
AL;2706307;Palmeira dos Índios;34545133,16;37605439,03;34553717,26;42410456,55;;61192114,07;59365938,31;67861813,44;
AL;2706406;Pão de Açúcar;9511720,53;10117735,99;11736245,82;13196422,96;14258747,61;12768455,85;12591084,11;12498328,17;
AL;2706422;Pariconha;3772920,22;4294580,82;6119167,98;5022720,23;4978496,52;5526859,13;6092746,94;7161926,22;
AL;2706448;Paripueira;2653086,76;2906415,2;3779216,85;4197446,96;4498175,83;5388453,66;6262526,85;6089117,34;
AL;2706505;Passo de Camaragibe;4176287,83;;;4878574,81;6937353,44;8113812,47;9190755,92;7954942,2;
AL;2706604;Paulo Jacinto;2898889,19;3085985,53;3037539,37;3180666,6;3479297,9;3837953,74;4586565,02;0;
AL;2706703;Penedo;32351715,27;35747108,89;37983848,38;21798369,25;42992418,83;42530813,99;;;
AL;2706802;Piaçabuçu;5173073,98;5958677,45;6146017,7;6776215,64;7569607,81;8297099,88;8705488,13;8747277,21;
AL;2706901;Pilar;16138826,29;15221910,57;0;19587973,78;21906510,53;25841418,17;25482247,21;30832719,53;
AL;2707008;Pindoba;1454462,04;1919817,53;;3028429,75;2657398,72;2493988,15;2741585,99;2576847,27;
AL;2707107;Piranhas;8651491,64;9231880,36;12898839,39;11684399,08;11695824,47;12794057,62;14892518,31;15054055,37;
AL;2707206;Poço das Trincheiras;2870000;3321704,14;;4420526,96;4881560,05;5191870,99;5823906,25;5897088,5;
AL;2707305;Porto Calvo;8458584,17;10162821,16;10142182,69;11035877,33;13466967,09;13127426,7;10012555,21;13244026,89;
AL;2707404;Porto de Pedras;3026076,97;2934390,06;4186113,46;3770189,02;4379498,81;4636569,47;4743526,45;4297721,47;
AL;2707503;Porto Real do Colégio;5594259,94;7243514,91;7494531;6515653,73;6852638,97;6931531,68;8165223,63;10814298,3;
AL;2707602;Quebrangulo;4477201,88;5448150,97;6679952,73;6459092,84;6808333,46;7585895,27;8407952,92;0;
AL;2707701;Rio Largo;14448542,98;16769155,55;17998278,16;19629477,39;26234130,91;30746410,17;33609667,57;31936667,53;
AL;2707800;Roteiro;2045760,71;2277690,51;3171188,56;3780132,16;5856598,75;6157002,54;4146417,47;3879574,86;
AL;2707909;Santa Luzia do Norte;2228946,9;2550783,06;2845718,17;2822348,78;3257554,6;;;;
AL;2708006;Santana do Ipanema;21807404,73;31200653,44;12145846,55;43643678,28;56463897,55;62082793,39;74002974,52;65591387,47;
AL;2708105;Santana do Mundaú;1603499,81;3923268,57;;4902298,07;4993565,04;5141057,03;5933584,98;5900691,75;
AL;2708204;São Brás;2430767,69;4243839,13;4159066,47;4038385,02;4440982,59;3729229,27;4066429,83;4019457,32;
AL;2708303;São José da Laje;7918074,67;8878566,43;11186333,77;11058082,74;10730577,17;12358217,32;13804018,26;15285166,72;
AL;2708402;São José da Tapera;9370687,54;10397181,27;7390933,44;15585872,47;17294492,81;22768123,95;20146819,69;17551787,2;
AL;2708501;São Luís do Quitunde;;;;11583814,86;13021871,48;12093596,36;92665,34;1074127,52;
AL;2708600;São Miguel dos Campos;21796292,61;24682692,46;33244000,55;37306365,02;42088731,32;47956884,08;59654310,85;58489230,98;
AL;2708709;São Miguel dos Milagres;2606596,55;2842640,14;3898467,69;4184915,35;4481898,76;4128225,87;4678406,31;4844834,86;
AL;2708808;São Sebastião;10163312,84;10923984,27;10522928,65;12041630,82;12020550,44;13327008,3;11474256,42;17362017,64;
AL;2708907;Satuba;4021997,73;4087118,9;4113941,18;6739189,79;8583749,03;7585144,8;8608325,33;9116034,1;
AL;2708956;Senador Rui Palmeira;3177376,95;4122054,65;4950105,27;4573316,28;5874916,96;5974295,09;6099242,28;6082586,08;
AL;2709004;Tanque d'Arca;1658247;0;3325534,93;3284607,04;3370290,17;2894039,02;3640716,22;3698243,24;
AL;2709103;Taquarana;4803232,57;5294187,76;6756870,42;7247561,37;10596927,12;9861094,66;10306110,81;11564716,06;
AL;2709152;Teotônio Vilela;13068645,66;15377164,91;17831765,65;;;;;;
AL;2709202;Traipu;4417403,37;;;8046390,11;7500747,56;10071772,67;10649301,12;10104803,59;
AL;2709301;União dos Palmares;22835055,19;21431804,21;28467664,1;29740877,11;31248784,02;35993381,3;39656984,31;42924728,17;
AL;2709400;Viçosa;8706069,26;9903332,58;12511606,71;15921577,49;15522247,44;15311539,8;18058934,1;1441330,68;
AM;1300029;Alvarães;3771214,57;4294178,81;4167306,73;5962308,96;4797434,8;4344615,43;3971830,65;4513116,93;
AM;1300060;Amaturá;2536483,57;2650219,99;2870319,17;2859579,98;4035489,82;3880399,35;3614870,29;;
AM;1300086;Anamã;3323137,71;4494179,04;3959966,33;3640188,9;4118863,57;4610658,27;5681300,18;4682416,42;
AM;1300102;Anori;3344464,05;4058515,97;4375304,99;5368390,59;6579539,52;5329639,38;5787499,93;8452024,76;
AM;1300144;Apuí;5490487,51;6017367,7;6020614,38;6553328,63;9720108,67;8523243,63;8294356,57;8424209,66;
AM;1300201;Atalaia do Norte;4362162,12;8659923,29;;4637715,14;6507727,67;5205796,76;7559397,05;7092501,28;
AM;1300300;Autazes;8013271,73;10530746,06;10003074,01;10710089,76;13137996,33;12994006,73;12485193,9;13678139,06;
AM;1300409;Barcelos;5489623,11;5271854,62;;6993323,07;9427991,08;8935200,2;6904481,67;6618199,77;
AM;1300508;Barreirinha;8036658,79;5000969,64;9256207;7998912,85;9707123,37;9187466,56;11901784,29;11688020,4;
AM;1300607;Benjamin Constant;8668049,41;9311350,66;;8693540,77;10886990,13;10752545,7;12891993,22;14718093,56;
AM;1300631;Beruri;3371591,14;4924663,3;4900671,65;6996940,98;7052203,58;5268014,34;7250795,08;6291822,91;
AM;1300680;Boa Vista do Ramos;;;;4576107,9;4926595,4;5398188,38;5406380,13;4926765,87;
AM;1300706;Boca do Acre;;;;9786627,46;10783279,73;11068886,37;10360591,67;11138724,9;
AM;1300805;Borba;11657778,02;14301457,72;15475336,41;11867233,74;12355781,37;16088948;19007442,2;16120371,3;
AM;1300839;Caapiranga;3091678,8;2977835,02;3222120,86;4561235,72;4944730,52;4223884,08;5434569,64;;
AM;1300904;Canutama;3255437,27;4102628,23;4148099,71;4767495,65;6313244,89;5762311,66;5278542,28;5521974,36;
AM;1301001;Carauari;6665034,92;5500997,74;5730393,03;6999227,34;8963854,52;7815986,33;8091475,81;7756992,55;
AM;1301100;Careiro;7698235,42;9101536,92;10351494,71;9983052,39;12788748,27;9452144,45;;12513414,99;
AM;1301159;Careiro da Várzea;4730671,42;5293270,2;7814572,23;7020497,89;8025340,01;8077648,3;10818523,82;7514884,7;
